var_x,var_y,max_lag_window,best_lag,best_corr,best_abs_corr
Open_Price,Close_Price,40,1,0.9999114004997303,0.9999114004997303
Open_Price,High_Price,40,0,0.9998176059553814,0.9998176059553814
Open_Price,Low_Price,40,0,0.9998187123715833,0.9998187123715833
Open_Price,Volume,40,2,-0.004939966577173612,0.004939966577173612
Open_Price,Daily_Return_Pct,40,0,-0.06526398409756952,0.06526398409756952
Open_Price,Volatility_Range,40,-25,0.017698718365632877,0.017698718365632877
Open_Price,Market_Cap,40,1,0.8344650388903053,0.8344650388903053
Open_Price,SMA_20,40,-5,0.9989875368399693,0.9989875368399693
Open_Price,SMA_50,40,-14,0.9972454042457165,0.9972454042457165
Open_Price,RSI_14,40,1,0.07120050749091392,0.07120050749091392
Close_Price,High_Price,40,0,0.9998187186780518,0.9998187186780518
Close_Price,Low_Price,40,0,0.9998207106631873,0.9998207106631873
Close_Price,Volume,40,1,-0.0049642004273917,0.0049642004273917
Close_Price,Daily_Return_Pct,40,-1,-0.06525848155186122,0.06525848155186122
Close_Price,Volatility_Range,40,-26,0.01768431220108818,0.01768431220108818
Close_Price,Market_Cap,40,0,0.834642871934531,0.834642871934531
Close_Price,SMA_20,40,-6,0.9989006938507946,0.9989006938507946
Close_Price,SMA_50,40,-15,0.99715775480359,0.99715775480359
Close_Price,RSI_14,40,0,0.07118327183052849,0.07118327183052849
High_Price,Low_Price,40,0,0.9997185776319316,0.9997185776319316
High_Price,Volume,40,1,-0.0052071632412516375,0.0052071632412516375
High_Price,Daily_Return_Pct,40,-1,-0.06515623881061011,0.06515623881061011
High_Price,Volatility_Range,40,0,0.029016725854386954,0.029016725854386954
High_Price,Market_Cap,40,0,0.834475788846887,0.834475788846887
High_Price,SMA_20,40,-6,0.9988864638805504,0.9988864638805504
High_Price,SMA_50,40,-15,0.9971520793739237,0.9971520793739237
High_Price,RSI_14,40,1,0.07116294663907075,0.07116294663907075
Low_Price,Volume,40,2,-0.00495568911615843,0.00495568911615843
Low_Price,Daily_Return_Pct,40,-1,-0.0646488091706935,0.0646488091706935
Low_Price,Volatility_Range,40,-26,0.01764311503515053,0.01764311503515053
Low_Price,Market_Cap,40,0,0.8344564139191587,0.8344564139191587
Low_Price,SMA_20,40,-5,0.9988796005515473,0.9988796005515473
Low_Price,SMA_50,40,-15,0.9971430275454837,0.9971430275454837
Low_Price,RSI_14,40,1,0.07114681977920789,0.07114681977920789
Volume,Daily_Return_Pct,40,-35,0.014314616770295063,0.014314616770295063
Volume,Volatility_Range,40,-23,-0.014785049998911668,0.014785049998911668
Volume,Market_Cap,40,-33,-0.009601717606012332,0.009601717606012332
Volume,SMA_20,40,-4,-0.004412481146953903,0.004412481146953903
Volume,SMA_50,40,-35,-0.0043590610026354995,0.0043590610026354995
Volume,RSI_14,40,-1,-0.010542362823176192,0.010542362823176192
Daily_Return_Pct,Volatility_Range,40,0,0.02667879318425751,0.02667879318425751
Daily_Return_Pct,Market_Cap,40,1,-0.05417558768657155,0.05417558768657155
Daily_Return_Pct,SMA_20,40,1,-0.06366617899045021,0.06366617899045021
Daily_Return_Pct,SMA_50,40,1,-0.06223869186871752,0.06223869186871752
Daily_Return_Pct,RSI_14,40,0,0.1315686731332526,0.1315686731332526
Volatility_Range,Market_Cap,40,30,0.021580204040125717,0.021580204040125717
Volatility_Range,SMA_20,40,-6,0.017568145317417846,0.017568145317417846
Volatility_Range,SMA_50,40,-10,0.01777930438453168,0.01777930438453168
Volatility_Range,RSI_14,40,-14,-0.024225545134216184,0.024225545134216184
Market_Cap,SMA_20,40,-8,0.8335855653468561,0.8335855653468561
Market_Cap,SMA_50,40,-14,0.8321775804281379,0.8321775804281379
Market_Cap,RSI_14,40,8,0.06294040068710544,0.06294040068710544
SMA_20,SMA_50,40,-6,0.998674094048636,0.998674094048636
SMA_20,RSI_14,40,19,0.06992561298596928,0.06992561298596928
SMA_50,RSI_14,40,40,0.06161063215674416,0.06161063215674416
